-    33  -    37  -    49  
    706  -    21  -    39  
  1,444  -    04  -    28  
  2,185       12  -    18  
  2,923       29  -    08  
  3,662       46       03  
  4,402       62       13  
  5,140       80       24  
  5,878       95       34  
  6,615      113       43  
  7,353      130       55  
  8,089      147       65  
  8,824      164       76  
  9,560      181       86  
 10,294      197       96  
 11,027      214      107  
 11,759      232      117  
 12,489      249      128  
 13,219      266      138  
 13,949      284      148  
 14,674      302      159  
-    31  -    37  -    48  
-   770  -    54  -    58  
- 1,509  -    70  -    68  
- 2,249  -    86  -    78  
- 2,987  -   104  -    88  
- 3,726  -   119  -    99  
- 4,465  -   135  -   109  
- 5,203  -   152  -   121  
- 5,941  -   168  -   130  
- 6,679  -   185  -   140  
- 7,415  -   202  -   151  
- 8,152  -   218  -   161  
- 8,887  -   235  -   171  
- 9,621  -   251  -   182  
-10,356  -   268  -   192  
-11,090  -   287  -   204  
-11,820  -   303  -   214  
-12,552  -   320  -   223  
-13,282  -   337  -   235  
-14,010  -   354  -   244  
-14,738  -   372  -   256  
