-    92  -    25  -    50  
-    64  -   768  -    74  
-    35  - 1,512  -   101  
-    09  - 2,257  -   126  
     19  - 3,000  -   152  
     47  - 3,743  -   178  
     75  - 4,487  -   204  
    102  - 5,229  -   230  
    131  - 5,972  -   256  
    159  - 6,713  -   282  
    187  - 7,455  -   308  
    215  - 8,195  -   334  
    242  - 8,936  -   360  
    271  - 9,675  -   386  
    299  -10,412  -   413  
    327  -11,151  -   439  
    356  -11,888  -   465  
    385  -12,623  -   492  
    414  -13,358  -   518  
    443  -14,090  -   546  
    471  -14,821  -   573  
-    92  -    25  -    50  
-   119      718  -    23  
-   147    1,464       02  
-   175    2,207       28  
-   203    2,950       53  
-   230    3,694       79  
-   259    4,437      105  
-   287    5,179      131  
-   316    5,922      157  
-   343    6,663      183  
-   372    7,405      208  
-   399    8,145      235  
-   428    8,884      261  
-   457    9,623      287  
-   484   10,362      313  
-   514   11,099      339  
-   542   11,835      367  
-   571   12,570      392  
-   600   13,304      420  
-   628   14,036      446 
-   658   14,767      473  
